Country,Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Type,Store Status,Store Type,Opening Date,Trading Days,Size (sqm),FS - new
KSA,Central,Riyadh,Stand Alone,Hospitality,Raising Cane's,Tamimi Shaikh Jaber DT-Riyadh,RB2-H801-RAI,Standalone,PTL,Drive-Thru,4/10/2024,147,227,Antony
KSA,Central,Riyadh,"Faisaliah Centre, Riyadh",Apparel,Victoria's Secret International-FA,Faisaliah Centre-FA,RB2-2444-VIF,Standalone,LFL,Shopping Mall / Center,3/24/2022,147,1254,Abdul Rahman
KSA,Central,Riyadh,"SIDRA, Riyadh",Hospitality,The Cheesecake Factory,"SIDRA, Riyadh",RB2-S003-CHE,Standalone,LFL,Plaza,4/26/2018,147,1688,Abdul rahman
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Safarat -DQ, Riyadh",RB2-2163-STA,Standalone,LFL,High Street,1/7/2005,147,135,Abu Shahid
KSA,Central,Riyadh,Other,Starbucks,Starbucks,Riyadh Y Line Square Drive Thru,RB2-H825-STA,Standalone,New,Drive-Thru,4/24/2025,29,165,Abdul Rahman
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,U walk Riyadh,RB2-H507-STA,Standalone,LFL,Shopping Mall / Center,11/7/2022,210,199,Abu Shahid
KSA,Central,Riyadh,,Starbucks,Starbucks,Hamza Road Swaidi DT  Riyadh,RB2-H537-STA,Standalone,New,Drive-Thru,6/17/2025,38,170,Abu Shahid
KSA,Central,Riyadh,,Starbucks,Starbucks,KKIA T1 Arrivals Landside,RB2-H951-STA,Standalone,New,Shopping Mall / Center,6/4/2025,51,71,Abdul Rahman
KSA,Central,Riyadh,,Apparel,Foot Locker,Nakheel Mall Riyadh,RB2-H956-FOO,Standalone,New,Shopping Mall / Center,5/29/2025,57,560,Abdul Rahman
KSA,Central,Riyadh,,Starbucks,Starbucks,Food Truck 1,RB2-H850-STA,Standalone,New,Drive-Thru,,,,Abu Shahid
KSA,Central,Riyadh,,Starbucks,Starbucks,Food Truck 2,RB2-H851-STA,Standalone,New,Drive-Thru,,,,Abu Shahid
