,ALSHAYA FM KSA STANDARD PRICING- (YEAR 2021),,,,,,,,,,
,,,,,,,,,,1/11/2021,
,SN,TYPE,CODE,DECRIPTION,UNIT,QTY,"Material 
Price","Labor
Price ",Total,REMARKS,COMMENTS
,28,CARPENTRY,CA00028,DOOR CLOSER - HM (80KG TO 100KG)6 MONTH WARNTEE,PC,1,180,150,330,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,NEW ITEM
,29,CARPENTRY,CA00029,DOOR CLOSER - HM (110KG TO 140KG)6 MONTH WARNTEE,PC,1,280,150,430,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,NEW ITEM
,30,CARPENTRY,CA00030,DOOR CLOSER - HM (150KG TO 180KG)6 MONTH WARNTEE,PC,1,380,150,530,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,NEW ITEM
,31,CARPENTRY,CA00031,DOOR DRAUGHT EXCLUDER / NYLON BRUSH,PC,1,45,100,145,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,32,CARPENTRY,CA00032,DOOR FLOOR MAT - 3M  MODEL 8150 USA SUPPLY + INSTALL,FT^2,1,,115,115,,
,33,CARPENTRY,CA00033,DOOR KICK PLATE STAINLESS STEEL/ALOCOBOND FOR WOODEN DOOR 40X120CM,PC,1,130,150,280,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,34,CARPENTRY,CA00034,DOOR STAINLESS SHEET - FULL DOOR ,PC,1,250,150,400,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,35,CARPENTRY,CA00035,DOOR STOPPER -HEAVY DUTY - FABRICATED ,PC,1,50,100,150,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,36,CARPENTRY,CA00036,DRAWER HANDLE - HEAVY DUTY,PC,1,15,100,115,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,37,CARPENTRY,CA00037,DRAWER LOCK - HEAVY DUTY,PC,1,40,100,140,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,38,CARPENTRY,CA00038,DRAWER RUNNERS / RAILING (PER PAIR) - HEAVY DUTY,PC,1,40,100,140,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,39,CARPENTRY,CA00039,EMERGENCY DOOR PUSH BAR COMPLETE SET WITH LOCK-SPAIN - 1 YEAR WARANTEE,PC,1,1150,200,1350,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,40,CARPENTRY,CA00040,EMERGENCY DOOR PUSH BAR COMPLETE SET WITH LOCK- ITALY- 1 YEAR WARANTEE,PC,1,1350,200,1550,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,41,CARPENTRY,CA00041,EMERGENCY DOOR PUSH BAR COMPLETE SET WITH LOCK- CHINA-6 MONTHS WARANTEE,PC,1,690,200,890,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,42,CARPENTRY,CA00042,EMERGENCY DOOR PUSH BAR - SPAIN (WITHOUT LOCK)-1 YEAR WARANTEE,PC,1,750,200,950,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,43,CARPENTRY,CA00043,FIREFIGHTING - ONE SIDED FIRE BLANKET SIGNAGE WITH INSTALLATION,PC,1,25,100,125,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,44,CARPENTRY,CA00044,FIREFIGHTING -ONE SIDED FIRE EXTINGUISHER SIGNAGE WITH INSTALLATION,PC,1,25,100,125,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,45,CARPENTRY,CA00045,FIREFIGHTING -STAINLESS STEEL CUSTOMIZED HOOKS FOR FIRE EXTINGUISHER WITH INSTALLATION,PC,1,45,100,145,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,46,CARPENTRY,CA00046,FIREFIGHTING -WOODEN SUPPORT FOR FIRE EXTINGUISHER WITH INSTALLATION,PC,1,45,100,145,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,47,CARPENTRY,CA00047,FIXTURE/FURNITURE SPRAY PAINT WITH SANDING (MATERIAL + LABOR + TRANSPORTATION),PC,1,,150,150,Minimum SR 150 for Small Job follow the CODE,
,48,CARPENTRY,CA00048,BLACK SPRAY PAINT ON HANDLE OF CABINET (WORKHSOP WORK),PC,1,50,100,150,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,49,CARPENTRY,CA00049,HANDLE FOR PATIO CABINET (INCLUDING BLACK SPRAY PAINT)(SPECIFIC HANDLE WILL BE MADE IN WORKSHOP),PC,1,100,100,200,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,50,CARPENTRY,CA00050,FIXTURE/FURNITURE WOODEN POLISH WITH VARNISH + LACQUER  (MATERIAL + LABOR + TRANSPORTATION),PC,1,,150,150,Minimum SR 150 for Small Job follow the CODE,
,51,CARPENTRY,CA00051,FROSTING - REMOVE DAMAGED FILM - LABOR ONLY,MTR^2,1,,25,25,,
,52,CARPENTRY,CA00052,FROSTING - SUPPLY AND INSTALL NEW FILM  - DESIGN BY ALSHAYA. BRAND: 3M.,MTR^2,1,,150,150,,
,53,CARPENTRY,CA00053,GLASS DOOR - AUTOMATICH  HYDRAULIC HINGE CLOSER - DORMA- 6 MONTHS WARANTEE,PC,1,350,200,550,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
