Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Code,Store Type,Store Status,Opening Date,Closure, SQM , FM  , FS  
Western,Jeddah,Stand Alone,Starbucks,Starbucks,"Taiba DT , Jeddah",RB2-H386-STA,H386,Drive-Thru,LFL,28-Apr-2022,,200,Bassem ,Rayan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,Al Sawari Aber Alqarat DT-Jeddah,RB2-H713-STA,H713,Drive-Thru,LFL,2-Jul-2023,,198,Bassem ,Rayan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,Abhour Mall Corniche-Jeddah,RB2-H725-STA,H725,Shopping Mall / Center,LFL,31-Aug-2023,,457,Bassem ,Rayan 
Western,Jeddah,Liwan Center Jeddah,Starbucks,Starbucks,"Liwan Center, Jeddah",RB2-S786-STA,S786,Plaza,LFL,28-Aug-2017,,200,Hakeem ,Sultan 
Western,Jeddah,Jeddah Park,Starbucks,Starbucks,Jeddah Park  Jeddah,RB2-S827-STA,S827,Residential / Commercial Bldg,LFL,4-May-2023,,314,Hakeem ,Sultan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,Al Asalah prince Talal St.-Jeddah,RB2-H780-STA,H780,Drive-Thru,LFL,27-Nov-2023,,125,Bassem ,Rayan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,"MOJ Plaza Abur 1, Jeddah",RB2-S698-STA,S698,Plaza,LFL,21-Sep-2015,,228,Bassem ,Rayan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,"Musadiah Plaza 1, Jeddah",RB2-S983-STA,S983,Plaza,LFL,30-Oct-2018,,200,Hakeem ,Sultan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,"Morjan Centre, Jeddah",RB2-S699-STA,S699,Plaza,LFL,6-Dec-2015,,270,Bassem ,Rayan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,"KAEC, Jeddah",RB2-S884-STA,S884,Others,LFL,30-Dec-2017,,155,Bassem ,Rayan 
Western,Jeddah,"Red Sea Mall, Jeddah",Hospitality,Tekzone,"Red Sea Mall, Jeddah",RB2-H073-FEC,H073,Mall Location,LFL,11-Jan-2021,,3350,Bassem ,Abdulrhman 
Western,Jeddah,"Red Sea Mall, Jeddah",Hospitality,Texas Roadhouse,"Red Sea Mall, Jeddah",RB2-S062-TEX,S062,Mall Location,LFL,24-Aug-2018,,426,Bassem ,Abdulrhman 
